Industry,Date,StartupName,IndustryVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,value
Industry,25/07/2017,Noticeboard,Consumer Internet,Bangalore,"Stellaris Venture Partners,",Private Equity,1200000.0,1
Industry,25/07/2017,Byju’s,Consumer Internet,Bangalore,Tencent Holdings,Private Equity,35000000.0,1
Industry,26/07/2017,Fab Hotels,Consumer Internet,New Delhi,Goldman Sachs,Private Equity,25000000.0,1
Industry,26/07/2017,ThinkerBell,Consumer Internet,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,200000.0,1
Industry,27/07/2017,1mg,eCommerce,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,15000000.0,1
Industry,28/07/2017,Jhakaas,Consumer Internet,Mumbai,Amen Dhyllon,Seed Funding,0.0,1
Industry,28/07/2017,BigStylist,Consumer Internet,Mumbai,Info Edge (India) Ltd,Private Equity,1250000.0,1
Industry,28/07/2017,Gympik.com,Consumer Internet,bangalore,RoundGlass Partners,Seed Funding,0.0,1
Industry,2/6/2017,RentOnGo,eCommerce,Bangalore,TVS Motor Company,Private Equity,0.0,1
Industry,5/6/2017,Goomo,Consumer Internet,Mumbai,Emerging India,Private Equity,50000000.0,1
Industry,5/6/2017,MaxMyWealth,Consumer Internet,Mumbai,"blockchain ecosystem Global Advisors, Horseferry",Private Equity,0.0,1
Industry,6/6/2017,Spinny,eCommerce,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,1000000.0,1
Industry,6/6/2017,Healthbuds,Consumer Internet,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,0.0,1
Industry,6/6/2017,Ftcash,Consumer Internet,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,0.0,1
Industry,6/6/2017,BHIVE Workspace,Consumer Internet,Bangalore,Blume Ventures,Private Equity,1200000.0,1
Industry,6/6/2017,wayForward,Consumer Internet,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,1000000.0,1
Industry,6/6/2017,GyanDhan,Consumer Internet,New Delhi,Sundaram Finance Holdings,Private Equity,0.0,1
Industry,6/6/2017,Hungry Foal,Consumer Internet,Gurgaon,SBI (Stand Up India Scheme),Private Equity,0.0,1
Industry,7/6/2017,ZipLoan,Consumer Internet,New Delhi,WaterBridge Ventures,Seed Funding,650000.0,1
Industry,7/6/2017,GrowFitter,Consumer Internet,Mumbai,SQue Capital,Seed Funding,600000.0,1
Industry,8/6/2017,Stratfit,Consumer Internet,Hyderabad,Bodhtree Consulting Limited,Seed Funding,232000.0,1
Industry,8/6/2017,Stockal,Consumer Internet,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,350000.0,1
Industry,9/6/2017,Guidoo,Consumer Internet,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,300000.0,1
Industry,9/6/2017,eSahai.in,Consumer Internet,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,250000.0,1
Industry,12/6/2017,Loanmeet,Consumer Internet,Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,0.0,1
Industry,12/6/2017,LendingKart,Consumer Internet,Ahmedabad,Yes Bank,Debt Funding,7800000.0,1
Industry,12/6/2017,PeeSafe.in,Healthcare,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1000000.0,1
Industry,12/6/2017,Vista Rooms,Consumer Internet,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,776000.0,1
Industry,12/6/2017,CoverFox,Consumer Internet,Mumbai,Transamerica,Private Equity,15000000.0,1
Industry,14/06/2017,Ola,Consumer Internet,Bangalore,Tekne Capital Management LLC,Private Equity,50000000.0,1
Industry,14/06/2017,Vanitycask,Consumer Internet,Mumbai,RB Investments,Seed Funding,0.0,1
Industry,14/06/2017,MrNeeds,Consumer Internet,Noida,undisclosed investors,Seed Funding,500000.0,1
Industry,15/06/2017,MoneyTap,Consumer Internet,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,12300000.0,1
Industry,16/06/2017,Goodbox,eCommerce,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,1000000.0,1
Industry,16/06/2017,Fincash,Consumer Internet,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,100000.0,1
Industry,16/06/2017,EdgeFx,eCommerce,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,0.0,1
Industry,16/06/2017,EazyDiner,Consumer Internet,Gurgaon,YouWeCan Ventures,Seed Funding,0.0,1
Industry,16/06/2017,HealthIntel,Healthcare,New Delhi,BLIP Initiatives,Seed Funding,0.0,1
Industry,20/06/2017,ForeverShop,Consumer Internet,Bangalore,91maker.com,Seed Funding,300000.0,1
Industry,20/06/2017,Insider.in,Consumer Internet,Mumbai,Paytm,Private Equity,5200000.0,1
Industry,21/06/2017,Fynd,eCommerce,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,2400000.0,1
Industry,21/06/2017,Grow Fit,Consumer Internet,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4500000.0,1
Industry,21/06/2017,OneAssist,Consumer Internet,Mumbai,Sequoia Capital,Private Equity,0.0,1
Industry,22/06/2017,Kissht,Consumer Internet,Mumbai,"Endiya Partners, Ventureast",Private Equity,2000000.0,1
Industry,22/06/2017,Explore Life traveling,Consumer Internet,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,500000.0,1
Industry,23/06/2017,Loantap,Consumer Internet,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,4000000.0,1
Industry,23/06/2017,Voxweb,Consumer Internet,Mumbai,Undisclosed investors,Seed Funding,1000000.0,1
Industry,26/06/2017,Flipkart,eCommerce,Bangalore,Naspers,Private Equity,71000000.0,1
Industry,26/06/2017,V Resorts,Consumer Internet,Noida,"Seedfund, RB International",Private Equity,4000000.0,1
Industry,27/06/2017,Stashfin,Consumer Internet,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,5000000.0,1
Industry,27/06/2017,Formcept,Consumer Internet,Bangalore,Gujarat Venture Finance Ltd,Private Equity,0.0,1
Industry,27/06/2017,Spares Hub,eCommerce,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,311000.0,1
Industry,28/06/2017,FiTraQ,Consumer Internet,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,0.0,1
Industry,28/06/2017,Rubique,Consumer Internet,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,3000000.0,1
Industry,28/06/2017,Niki.ai,Consumer Internet,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,2000000.0,1
Industry,29/06/2017,Fitpass,Consumer Internet,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,1000000.0,1
Industry,30/06/2017,UrbanClap,Consumer Internet,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,21000000.0,1
Industry,1/5/2017,Ace2three,Consumer Internet,Hyderabad,Clairvest Group,Private Equity,73700000.0,1
Industry,1/5/2017,Power2SME,eCommerce,Gurgaon,International Finance Corporation,Private Equity,10000000.0,1
Industry,2/5/2017,SMECorner,Consumer Internet,Mumbai,Dutch government fund,Private Equity,0.0,1
Industry,2/5/2017,ZippServe,Consumer Internet,Bangalore,undisclosed investors,Seed Funding,390000.0,1
Industry,4/5/2017,Healthians,Consumer Internet,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,0.0,1
Industry,5/5/2017,HealthMir,Consumer Internet,New Delhi,Nimit Panigrahi,Seed Funding,0.0,1
Industry,5/5/2017,Uactive,Consumer Internet,Mumbai,Hinduja family,Seed Funding,0.0,1
Industry,5/5/2017,i-lend,Consumer Internet,Hyderabad,50K Ventures,Seed Funding,0.0,1
Industry,5/5/2017,Balance App,Consumer Internet,Bangalore,Rainmatter,Seed Funding,233000.0,1
Industry,8/5/2017,YepMe,eCommerce,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,700000.0,1
Industry,8/5/2017,Nightstay,Consumer Internet,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,0.0,1
Industry,10/5/2017,Vidooly,Consumer Internet,Noida,"Times Internet, GVFL",Private Equity,1400000.0,1
Industry,10/5/2017,Shopclues,eCommerce,Gurgaon,InnoVen Capital,Private Equity,7700000.0,1
Industry,10/5/2017,Fourth Ambit,Consumer Internet,Bangalore,1Crowd,Seed Funding,600000.0,1
Industry,11/5/2017,Early Salary,Consumer Internet,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,4000000.0,1
Industry,11/5/2017,Book My Diamond,eCommerce,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,0.0,1
Industry,12/5/2017,Legal Raasta,Consumer Internet,New Delhi,Impanix Capital,Private Equity,5000000.0,1
Industry,12/5/2017,Remit Guru,Consumer Internet,Mumbai,"Infibeam, CCavenue",Private Equity,466000.0,1
Industry,12/5/2017,Aequm,eCommerce,Bangalore,undisclosed investors,Seed Funding,1000000.0,1
Industry,17/05/2017,Genie,Consumer Internet,Chennai,undisclosed investors,Seed Funding,250000.0,1
Industry,17/05/2017,Paysense,Consumer Internet,Mumbai,Jungle Ventures,Private Equity,5300000.0,1
Industry,18/05/2017,The Good Life,eCommerce,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,1000000.0,1
Industry,18/05/2017,PumpKart,eCommerce,Chandigarh,Dr. Ritesh Malik,Seed Funding,0.0,1
Industry,18/05/2017,Paytm,eCommerce,Bangalore,SoftBank Group,Private Equity,1400000000.0,1
Industry,19/05/2017,EzCred,Consumer Internet,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,1000000.0,1
Industry,22/05/2017,ZipGrid,Consumer Internet,Mumbai,"JLL, 1Crowd",Seed Funding,500000.0,1
Industry,23/05/2017,TravelSpice,eCommerce,Hyderabad,Eagle10 Ventures,Seed Funding,0.0,1
Industry,23/05/2017,Magicpin,Consumer Internet,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,6600000.0,1
Industry,23/05/2017,The Print,Consumer Internet,New Delhi,"Ratan Tata, Nandan Nilekani, Uday Kotak, Vijay Shekhar Sharma, Kiran Mazumdar-Shaw, Rajiv C Mody",Seed Funding,0.0,1
Industry,23/05/2017,Box8,Consumer Internet,Mumbai,Trifecta Capital,Private Equity,1000000.0,1
Industry,24/05/2017,GenNext Students,Consumer Internet,Mumbai,Undisclosed Investors,Seed Funding,580000.0,1
Industry,25/05/2017,Aye Finance,Finance,Gurgaon,Blue Orchard,Private Equity,8000000.0,1
Industry,26/05/2017,WhatsLoan,Consumer Internet,Bangalore,Lahiri Music’s family office,Seed Funding,0.0,1
Industry,29/05/2017,Cube Consumer Services,Consumer Internet,Mumbai,,Seed Funding,0.0,1
Industry,29/05/2017,Nivesh,Consumer Internet,Noida,"PV Sahad, Sandeep Shroff, Rahul Gupta",Seed Funding,0.0,1
Industry,29/05/2017,Collateral Medical,eCommerce,Mumbai,Carpediem Capital,Private Equity,3500000.0,1
Industry,30/05/2017,SimpliLend,Consumer Internet,New Delhi,Undisclosed Investors,Seed Funding,0.0,1
Industry,30/05/2017,Supr Daily,Consumer Internet,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,1500000.0,1
Industry,30/05/2017,Swiggy,Consumer Internet,Bangalore,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,80000000.0,1
Industry,31/05/2017,SastaSundar,eCommerce,Kolkata,Rohto Pharmaceutical,Private Equity,5000000.0,1
Industry,1/4/2017,Cashe,Consumer Internet,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,3800000.0,1
Industry,3/4/2017,Eruditus,Education,Mumbai,Bertelsmann India,Private Equity,8200000.0,1
Industry,3/4/2017,TestBook,Consumer Internet,Mumbai,Matrix Partners India,Private Equity,0.0,1
Industry,3/4/2017,Healthcare at Home,Healthcare,Noida,Quadria Capital Advisors,Private Equity,40000000.0,1
Industry,3/4/2017,SmartCoin,Consumer Internet,Bangalore,Unicorn India Ventures & Others,Private Equity,0.0,1
Industry,4/4/2017,Trukky,Consumer Internet,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed Funding,500000.0,1
Industry,4/4/2017,Konsult App,Consumer Internet,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed Funding,500000.0,1
Industry,5/4/2017,Credit Sudhaar,Consumer Internet,Mumbai,"Deepak Kulkarni, Sandeep Pangal",Seed Funding,0.0,1
Industry,5/4/2017,Fingerlix,Consumer Internet,Mumbai,Zephyr Peacock India,Private Equity,3000000.0,1
Industry,6/4/2017,Medwell Ventures,Healthcare,Bangalore,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,21000000.0,1
Industry,6/4/2017,Mech Mocha,Consumer Internet,Bangalore,"Accel Partners, Shunwei Capital",Private Equity,5000000.0,1
Industry,7/4/2017,Startup Buddy,Consumer Internet,Gurgaon,"YouWeCan Ventures,",Seed Funding,0.0,1
Industry,7/4/2017,QorQI,Healthcare,Noida,Paytm,Seed Funding,0.0,1
Industry,7/4/2017,PharmEasy,eCommerce,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,18000000.0,1
Industry,8/4/2017,WonderChef,eCommerce,Mumbai,Labruyere Eberlé,Private Equity,0.0,1
Industry,8/4/2017,FastFox,Consumer Internet,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,4600000.0,1
Industry,10/4/2017,Capital Float,Consumer Internet,Bangalore,Mahindra and Mahindra Financial Services,Private Equity,2300000.0,1
Industry,11/4/2017,Ninjacart,eCommerce,Bangalore,"Accel Partners, Nandan Nilekani’s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,5500000.0,1
Industry,11/4/2017,Sports Flashes,Consumer Internet,New Delhi,"Sushil Kumar, Sandeep Singh",Seed Funding,0.0,1
Industry,12/4/2017,Clovia,eCommerce,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,4000000.0,1
Industry,12/4/2017,HackerEarth,Consumer Internet,Bangalore,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,4500000.0,1
Industry,12/4/2017,Tinmen,Consumer Internet,Hyderabad,"MAPE Advisory Group, R Ramaraj, Corvus Ventures",Seed Funding,0.0,1
Industry,12/4/2017,ScoutMyTrip,Consumer Internet,Mumbai,Z Nation Lab,Seed Funding,0.0,1
Industry,13/04/2017,SafetyKart,eCommerce,Gurgaon,Redcliffe Capital,Private Equity,0.0,1
Industry,13/04/2017,WeAreHolidays,Consumer Internet,Gurgaon,"Urrshila Kerkar,",Private Equity,7700000.0,1
Industry,14/04/2017,Ola Cabs,Consumer Internet,Bangalore,SIMI Pacific Pte,Private Equity,260000000.0,1
Industry,15/04/2017,Myly,Consumer Internet,Jaipur,mall Industries Development Bank of India (SIDBI),Seed Funding,310000.0,1
Industry,17/04/2017,CrediHealth,Consumer Internet,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,1500000.0,1
Industry,17/04/2017,Be U Salons,Consumer Internet,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,620000.0,1
Industry,17/04/2017,Simulanis,Consumer Internet,New Delhi,Village Capital,Seed Funding,0.0,1
Industry,20/04/2017,HolaChef,Consumer Internet,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,3000000.0,1
Industry,20/04/2017,Wooplr,eCommerce,Bangalore,Ankit Nagori,Private Equity,0.0,1
Industry,21/04/2017,Video Ken,Consumer Internet,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,1000000.0,1
Industry,24/04/2017,Oyo Rooms,Consumer Internet,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,250000000.0,1
Industry,24/04/2017,Toppr,Consumer Internet,Mumbai,WGG International,Private Equity,3200000.0,1
Industry,24/04/2017,Niramai,Healthcare,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,0.0,1
Industry,25/04/2017,The Office Pass,Consumer Internet,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,245000.0,1
Industry,26/04/2017,Awfis,Consumer Internet,Mumbai,Sequoia India,Private Equity,20000000.0,1
Industry,26/04/2017,Myra,Consumer Internet,Bangalore,"Times Internet,Matrix Partners",Private Equity,0.0,1
Industry,26/04/2017,Howdy Ventures,Consumer Internet,Chennai,S. Xavier Britto,Seed Funding,1500000.0,1
Industry,26/04/2017,StalkBuyLove,eCommerce,New Delhi,Trifecta Capital,Private Equity,1000000.0,1
Industry,26/04/2017,ZipGo,Consumer Internet,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,0.0,1
Industry,27/04/2017,Scootsy,Consumer Internet,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,3600000.0,1
Industry,27/04/2017,iNurture,Consumer Internet,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,1500000.0,1
Industry,28/04/2017,Sepalika,Consumer Internet,New Delhi,Accel Partners,Seed Funding,750000.0,1
Industry,28/04/2017,Mintwalk,Consumer Internet,Mumbai,Poshika Financial Ecosystem,Seed Funding,0.0,1
Industry,29/04/2017,Qriyo,Consumer Internet,Jaipur,NB Ventures,Private Equity,0.0,1
Industry,1/3/2017,Belong,Consumer Internet,Bangalore,Sequoia Capital India,Private Equity,10000000.0,1
Industry,1/3/2017,Seenit,Consumer Internet,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,0.0,1
Industry,1/3/2017,Paalak,eCommerce,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,0.0,1
Industry,2/3/2017,Celes Care,Consumer Internet,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,1500000.0,1
Industry,2/3/2017,Red Carpet,Consumer Internet,Gurgaon,Lightspeed Venture Partners,Private Equity,2500000.0,1
Industry,2/3/2017,CreditMantri,Consumer Internet,Chennai,Quona Capital,Private Equity,7600000.0,1
Industry,3/3/2017,Lets Endorse,Consumer Internet,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,0.0,1
Industry,3/3/2017,Nactus,Consumer Internet,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,0.0,1
Industry,3/3/2017,Emojifi,Consumer Internet,Hyderabad,Undisclosed angel investors,Seed Funding,0.0,1
Industry,3/3/2017,Paytm Marketplace,eCommerce,Bangalore,Alibaba,Private Equity,200000000.0,1
Industry,4/3/2017,iGenetics,Healthcare,Mumbai,CDC Group Plc,Private Equity,19500000.0,1
Industry,6/3/2017,Juno Clinic,Consumer Internet,Mumbai,Atul Nishar,Seed Funding,1200000.0,1
Industry,6/3/2017,Summerlabel,Consumer Internet,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,150000.0,1
Industry,6/3/2017,PickMe,Consumer Internet,Mumbai,SIDBI Venture Capital Fund,Private Equity,1790000.0,1
Industry,7/3/2017,Book Servicing,Consumer Internet,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,30000.0,1
Industry,7/3/2017,Blowhorn,Consumer Internet,Bangalore,"IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund",Private Equity,3650000.0,1
Industry,8/3/2017,Parentune,Consumer Internet,Gurgaon,"Kae Capital, SEGNEL Ventures",Private Equity,0.0,1
Industry,9/3/2017,AppBrowzer,Consumer Internet,Bangalore,Deepak Gurnani,Seed Funding,500000.0,1
Industry,9/3/2017,MagicBricks,Consumer Internet,Mumbai,Times Internet Ltd,Private Equity,4500000.0,1
Industry,10/3/2017,PeeBuddy,Healthcare,New Delhi,Indian Angel Network,Seed Funding,443000.0,1
Industry,10/3/2017,iOrderFresh,eCommerce,New Delhi,Singapore Angel Network,Seed Funding,0.0,1
Industry,10/3/2017,PropertyShare,Consumer Internet,Bangalore,"Asuka, Pravega Ventures, BEENEXT",Seed Funding,0.0,1
Industry,14/03/2017,MyDermacy,Consumer Internet,New Delhi,Cyber Carrier,Private Equity,0.0,1
Industry,15/03/2017,LatestOne,eCommerce,Hyderabad,"Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth",Private Equity,3350000.0,1
Industry,15/03/2017,Frapperz,Consumer Internet,Kolkata,Undisclosed Investor,Seed Funding,100000.0,1
Industry,16/03/2017,mPaani,Consumer Internet,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,1350000.0,1
Industry,16/03/2017,POPxo,Consumer Internet,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,3100000.0,1
Industry,16/03/2017,Fitso,Consumer Internet,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed Funding,200000.0,1
Industry,21/03/2017,MyGlamm,Consumer Internet,Mumbai,L’Occitane,Private Equity,5300000.0,1
Industry,22/03/2017,The Mons Co.,eCommerce,New Delhi,"Shripad Nadkarni, Nandu Nandkishore",Seed Funding,0.0,1
Industry,22/03/2017,Haqdarshak,Consumer Internet,Bangalore,"Ravi Saxena, Sandeep Raju,",Seed Funding,191000.0,1
Industry,23/03/2017,Ixigo,Consumer Internet,Gurgaon,"Sequoia Capital, Kinzon Capital",Private Equity,15000000.0,1
Industry,24/03/2017,BabyonBoard,Consumer Internet,Bangalore,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",Seed Funding,0.0,1
Industry,27/03/2017,Sport Flashes,Consumer Internet,New Delhi,"Vikas Bajaj, Amit Kharbanda,",Seed Funding,0.0,1
Industry,28/03/2017,DoneThing,Consumer Internet,Gurgaon,Brand Capital,Private Equity,300000.0,1
Industry,29/03/2017,Zapyle,eCommerce,Bangalore,Undisclosed Investors,Seed Funding,0.0,1
Industry,29/03/2017,Ithaka,Consumer Internet,Mumbai,"Ankit Gupta, Puneet Motihar",Seed Funding,325000.0,1
Industry,29/03/2017,perpule,eCommerce,Bangalore,KStart Capital,Seed Funding,650000.0,1
Industry,29/03/2017,Licious,eCommerce,Bangalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,10000000.0,1
Industry,29/03/2017,Medinfi,Consumer Internet,Bangalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed Funding,50000.0,1
Industry,30/03/2017,Klinic App,Consumer Internet,Gurgaon,Om Chaudhry,Seed Funding,0.0,1
Industry,31/03/2017,BigBasket,eCommerce,Bangalore,Trifecta Capital,Private Equity,7000000.0,1
Industry,31/03/2017,Rooter,Consumer Internet,New Delhi,Intex Technologies,Private Equity,0.0,1
Industry,3/2/2017,Stockroom.io,Consumer Internet,Hyderabad,"Satya D Sinha, Gyanendra Singh",Seed Funding,0.0,1
Industry,7/2/2017,Inner Hour,Consumer Internet,Mumbai,"Batlivala & Karani Securities, Venture Works",Seed Funding,450000.0,1
Industry,7/2/2017,Travel Triangle,Consumer Internet,Noida,"RB Investments, SAIF Partners, Bessemer Venture Partners",Private Equity,10000000.0,1
Industry,8/2/2017,Wandertrails,Consumer Internet,Bangalore,Earlsfield Capital,Seed Funding,1000000.0,1
Industry,8/2/2017,Cartrade,Consumer Internet,Mumbai,Temasek Holdings,Private Equity,55000000.0,1
Industry,8/2/2017,Edurev,Consumer Internet,Gurgaon,Facebook FB Start programme,Seed Funding,40000.0,1
